name,webdev,ai,robotics,nlp,bot,fintech,music,iot,biomedical,education,environment,fitness,vr,blockchain,gaming,hardware,research
Penelope,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0
Layla,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Riley,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
Zoey,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0
Nora,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Lily,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1
Eleanor,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1
Hannah,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0
Lillian,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0
Addison,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1
Aubrey,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
Ellie,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
Stella,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
Natalie,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1
Zoe,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0
Leah,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0
Hazel,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0
Violet,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1
Aurora,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0
Savannah,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
Audrey,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Brooklyn,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0
Bella,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1
Claire,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1
Zeeshan,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
Jedediah,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1
Silas,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0
Aubree,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
Gavin,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0
Chase,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1
Kai,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0
Emmett,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1
Harrison,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1
Nathaniel,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1
Kingston,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1
Cole,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Tyler,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
Bennett,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
Bentley,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Ryker,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
Tristan,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
Brandon,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
Kevin,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0
Luis,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1
George,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0
Ashton,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1
Rowan,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1
Braxton,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
Ryder,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1
Gael,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1
Ivan,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1
Diego,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0
Maxwell,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0
Max,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
Carlos,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0
Kaiden,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0
Juan,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0
Maddox,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1
Justin,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1
Waylon,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1
Calvin,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1
Giovanni,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0
Jonah,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1
Abel,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0
Jayce,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
Jesus,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1
Amir,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0
King,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0
Beau,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1
Camden,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0
Alex,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0
Jasper,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1
Malachi,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0
Brody,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
Jude,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
Blake,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0
Emmanuel,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1
Eric,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1
Brooks,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0
Elliot,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0
Antonio,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0
Abraham,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0
Timothy,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Finn,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0
Rhett,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Elliott,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1
Edward,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1
August,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1
Xander,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1
Alan,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Dean,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0
Lorenzo,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0
Bryce,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1
Karter,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0
Victor,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0
Milo,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0
Miguel,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0
Hayden,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0
Graham,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Grant,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1
Zion,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1
Tucker,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1
Jesse,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
Zayden,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Joel,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1
Richard,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
Patrick,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
Emiliano,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0
Avery,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0
Nicolas,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0
Brantley,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1
Dawson,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1
Myles,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1
Matteo,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1
River,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1
Steven,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0
Thiago,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1
Zane,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1
Matias,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1
Judah,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0
Messiah,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1
Jeremy,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1
Preston,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0
Oscar,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0
Kaleb,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
Alejandro,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1
Marcus,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1
Mark,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0
Peter,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
Maximus,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1
Barrett,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
Jax,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
Andres,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0
Holden,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
Legend,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1
Charlie,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1
Knox,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
Kaden,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0
Paxton,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1
Kyrie,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0
Kyle,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1
Griffin,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1
Josue,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0
Kenneth,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0
Beckett,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1
Enzo,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1
Adriel,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0
Arthur,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1
Felix,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1
Bryan,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0
Lukas,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1
Paul,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1
Brian,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1
Colt,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
Caden,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0
Leon,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1
Archer,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
Omar,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1
Israel,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Aidan,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1
Theo,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1
Javier,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0
Remington,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1
Jaden,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1
Bradley,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1
Emilio,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1
Colin,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
Riley,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0
Cayden,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0
Phoenix,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
Clayton,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0
Simon,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Ace,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Nash,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0
Derek,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1
Rafael,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0
Zander,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1
Brady,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0
Jorge,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1
Jake,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
Louis,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
Damien,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0
Karson,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1
Walker,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
Maximiliano,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
Amari,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1
Sean,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1
Chance,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1
Walter,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1
Martin,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1
Finley,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0
Andre,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0
Tobias,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1
Cash,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0
Corbin,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0
Arlo,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0
Iker,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0
Erick,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1
Emerson,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1
Gunner,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
Cody,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1
Stephen,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
Francisco,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0
Killian,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0
Dallas,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0
Reid,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0
Manuel,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
Lane,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1
Atlas,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0
Rylan,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1
Jensen,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1
Ronan,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
Beckham,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0
Daxton,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0
Anderson,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0
Kameron,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0
Raymond,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0
Orion,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1
Cristian,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0
Tanner,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
Kyler,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
Jett,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1
Cohen,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1
Ricardo,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0
Spencer,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0
Gideon,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
