name,webdev,ai,robotics,nlp,bot,fintech,music,iot,biomedical,education,environment,fitness,vr,blockchain,gaming,hardware,research
Julian,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0
Mateo,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Anthony,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1
Jaxon,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1
Lincoln,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Joshua,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1
Christopher,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0
Andrew,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
Theodore,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
Caleb,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1
Ryan,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1
Asher,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1
Nathan,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0
Thomas,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0
Leo,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1
Olivia,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
Ava,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Isabella,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1
Sophia,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1
Charlotte,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1
Mia,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0
Amelia,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1
Harper,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0
Evelyn,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1
Abigail,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0
Emily,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0
Elizabeth,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1
Mila,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
Ella,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1
Avery,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1
Sofia,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1
Camila,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0
Aria,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1
Scarlett,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0
Victoria,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0
Madison,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Luna,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0
Grace,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1
Chloe,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
Penelope,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1
Layla,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1
Riley,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0
Zoey,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0
Nora,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0
Lily,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1
Eleanor,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1
Hannah,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
Lillian,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0
Addison,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1
Aubrey,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1
Ellie,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1
Stella,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0
Natalie,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1
Zoe,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1
Leah,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1
Hazel,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0
Violet,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1
Aurora,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0
Savannah,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1
Audrey,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0
Brooklyn,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1
Bella,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0
Claire,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Zeeshan,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1
Jedediah,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1

